Iteration,Memory,Runtime
0,10692984,0.356799840927124
1,10692984,0.2852349281311035
2,10692984,0.29564738273620605
3,10692984,0.27874135971069336
4,10692984,0.27544522285461426
5,10692984,0.30042099952697754
6,10692984,0.2889378070831299
7,10692984,0.3018784523010254
8,10692984,0.39394330978393555
9,10692984,0.3098888397216797
10,10692984,0.29879188537597656
11,10692984,0.31266021728515625
12,10692984,0.2827317714691162
13,10692984,0.32849597930908203
14,10692984,0.29274702072143555
15,10692984,0.31336021423339844
16,10692984,0.2810630798339844
17,10692984,0.29030799865722656
18,10692984,0.35187530517578125
19,10692984,0.28607821464538574
20,10692984,0.30753469467163086
21,10692984,0.3232910633087158
22,10692984,0.2512664794921875
23,10692984,0.269763708114624
24,10692984,0.28939366340637207
25,10692984,0.2901604175567627
26,10692984,0.2934093475341797
27,10692984,0.28559160232543945
28,10692984,0.3220949172973633
29,10692984,0.25946497917175293
30,10692984,0.2861661911010742
31,10692984,0.2773904800415039
32,10692984,0.32908010482788086
33,10692984,0.27174878120422363
34,10692984,0.29695606231689453
35,10692984,0.259371280670166
36,10692984,0.27050185203552246
37,10692984,0.3267171382904053
38,10692984,0.2629857063293457
39,10692984,0.261765718460083
40,10692984,0.2752537727355957
41,10692984,0.2647721767425537
42,10692984,0.26674747467041016
43,10692984,0.27380847930908203
44,10692984,0.3008544445037842
45,10692984,0.2422480583190918
46,10692984,0.2697913646697998
47,10692984,0.2738454341888428
48,10692984,0.28236889839172363
49,10692984,0.2888007164001465
